"country","species","indoor_host","outdoor_host","combined_host","host_unit","indoor_biting","outdoor_biting","indoor_outdoor_biting_units","combined_1830_2130","combined_2130_0030","combined_0030_0330","combined_0330_0630","citation"
"India","Anopheles fluviatilis (Sp.T)",0.4,NA,NA,"HBI (%)",NA,NA,"","","","","","Shukla, R.P., Sharma, S.N., Kohli, V.K., Nanda, N., Sharma, V.P. and Subbarao, S.K. (2001).  Dynamics of malaria transmission under changing ecological scenario in and around Nanak Matta Dam, Uttaranchal, India. Indian Journal of Malariology, 38(3-4):91-8"
"India","Anopheles culicifacies (Sp. B)",0,NA,NA,"HBI (%)",NA,NA,"","","","","","Shukla, R.P., Sharma, S.N., Kohli, V.K., Nanda, N., Sharma, V.P. and Subbarao, S.K. (2001).  Dynamics of malaria transmission under changing ecological scenario in and around Nanak Matta Dam, Uttaranchal, India. Indian Journal of Malariology, 38(3-4):91-8"
"India","Anopheles culicifacies (Sp. C)",0,NA,NA,"HBI (%)",NA,NA,"","","","","","Shukla, R.P., Sharma, S.N., Kohli, V.K., Nanda, N., Sharma, V.P. and Subbarao, S.K. (2001).  Dynamics of malaria transmission under changing ecological scenario in and around Nanak Matta Dam, Uttaranchal, India. Indian Journal of Malariology, 38(3-4):91-8"
"India","Anopheles fluviatilis (Sp.T)",0,NA,NA,"HBI (%)",NA,NA,"","","","","","Shukla, R.P., Sharma, S.N., Kohli, V.K., Nanda, N., Sharma, V.P. and Subbarao, S.K. (2001).  Dynamics of malaria transmission under changing ecological scenario in and around Nanak Matta Dam, Uttaranchal, India. Indian Journal of Malariology, 38(3-4):91-8"
"India","Anopheles culicifacies (Sp. B)",0,NA,NA,"HBI (%)",NA,NA,"","","","","","Shukla, R.P., Sharma, S.N., Kohli, V.K., Nanda, N., Sharma, V.P. and Subbarao, S.K. (2001).  Dynamics of malaria transmission under changing ecological scenario in and around Nanak Matta Dam, Uttaranchal, India. Indian Journal of Malariology, 38(3-4):91-8"
"India","Anopheles culicifacies (Sp. C)",0,NA,NA,"HBI (%)",NA,NA,"","","","","","Shukla, R.P., Sharma, S.N., Kohli, V.K., Nanda, N., Sharma, V.P. and Subbarao, S.K. (2001).  Dynamics of malaria transmission under changing ecological scenario in and around Nanak Matta Dam, Uttaranchal, India. Indian Journal of Malariology, 38(3-4):91-8"
"India","Anopheles fluviatilis (Sp.T)",0,NA,NA,"HBI (%)",NA,NA,"","","","","","Shukla, R.P., Sharma, S.N., Kohli, V.K., Nanda, N., Sharma, V.P. and Subbarao, S.K. (2001).  Dynamics of malaria transmission under changing ecological scenario in and around Nanak Matta Dam, Uttaranchal, India. Indian Journal of Malariology, 38(3-4):91-8"
"India","Anopheles stephensi",NA,52.2,NA,"AI",NA,NA,"","","","","","Tyagi, B.K. and Yadav, S.P. (2001).  Bionomics of malaria vectors in two physiographically different areas of the epidemic-prone Thar Desert, north-western Rajasthan (India). Journal of Arid Environments, 47(2):161-172"
"India","Anopheles culicifacies complex",NA,26.8,NA,"AI",NA,NA,"","","","","","Tyagi, B.K. and Yadav, S.P. (2001).  Bionomics of malaria vectors in two physiographically different areas of the epidemic-prone Thar Desert, north-western Rajasthan (India). Journal of Arid Environments, 47(2):161-172"
"India","Anopheles subpictus complex",NA,4.8,NA,"AI",NA,NA,"","","","","","Tyagi, B.K. and Yadav, S.P. (2001).  Bionomics of malaria vectors in two physiographically different areas of the epidemic-prone Thar Desert, north-western Rajasthan (India). Journal of Arid Environments, 47(2):161-172"
"India","Anopheles annularis complex",NA,3.7,NA,"AI",NA,NA,"","","","","","Tyagi, B.K. and Yadav, S.P. (2001).  Bionomics of malaria vectors in two physiographically different areas of the epidemic-prone Thar Desert, north-western Rajasthan (India). Journal of Arid Environments, 47(2):161-172"
"India","Anopheles subpictus complex",35.7,NA,NA,"HBI (%)",NA,NA,"","","","","","Kumari, S., Parida, S.K., Marai, N., Tripathy, A., Hazra, R.K., Kar, S.K. and Mahapatra, N. (2009).  Vectorial role of Anopheles subpictus Grassi and Anopheles culicifacies Giles in Angul District, Orissa, India. The Southeast Asian Journal of Tropical Medicine and Public Health, 40(4):713-719"
